COMMAND     PID                 USER   FD      TYPE             DEVICE  SIZE/OFF                NODE NAME
python3.1 20957 borjafernandezangulo  txt       REG               1,13    132176           354017689 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/numpy/random/_mt19937.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13    189920           354017311 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/numpy/random/bit_generator.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13   9521768           361699046 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/lxml/etree.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13   5021696           305260778 /Users/borjafernandezangulo/.cortex/cortex.db
python3.1 20957 borjafernandezangulo  txt       REG               1,13    279912           354017704 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/numpy/random/_bounded_integers.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13    115648           354017691 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/numpy/random/_philox.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13    232000           354017711 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/numpy/random/_common.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13    113088           361691113 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/special/_ellip_harm_2.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13     50232           361699720 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/torch/_C.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13     63744           361699952 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/torch/lib/libshm.dylib
python3.1 20957 borjafernandezangulo  txt       REG               1,13    184176           361691088 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/special/_specfun.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13     50656           361673783 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/markupsafe/_speedups.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13     74592           361696518 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/sklearn/__check_build/_check_build.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13    651216           354017766 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/numpy/random/_generator.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13    527616           354017709 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/numpy/random/mtrand.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13    329912           354017209 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/numpy/fft/_pocketfft_umath.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13    113560           361691912 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/linalg/_decomp_lu_cython.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13     51280           361691701 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/optimize/_zeros.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13    702944           361691092 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/special/_ufuncs.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13    627808           361691108 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/special/_gufuncs.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13    115256           361691862 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/linalg/_solve_toeplitz.cpython-312-darwin.so
python3.1 20957 borjafernandezangulo  txt       REG               1,13     52536           361691963 /Users/borjafernandezangulo/10_PROJECTS/cortex-persist/.venv/lib/python3.12/site-packages/scipy/ndimage/_rank_filter_1d.cpython-312-darwin.so
